head_id,relation_id,tail_id
1392284,26,1283286
850637,13,172695
292666,65,2342
41815,26,1118838
2165761,13,2159535
120312,35,13384
1241414,13,1159916
1950854,40,889444
1915532,7,1743130
188282,88,87828
317319,40,984440
1428747,13,361090
112837,109,314897
1582400,7,1484241
57975,6,8846
303600,106,5232
2089702,109,742795
851877,13,411674
1241523,13,1249565
1582362,88,156921
1917819,7,1513322
442980,88,1629779
1239423,62,8256
786781,13,1481079
919231,88,628058
1522050,62,10816
1830129,63,1829691
9635,16,2062574
1253532,13,1253317
313706,41,1972436
221530,170,356713
393570,54,13628
88463,40,1094879
397543,54,96958
831609,63,2020203
126172,7,1943803
1278617,63,1278707
460133,63,1239762
1791410,13,484493
1989422,13,1897169
95619,40,2006856
1643785,63,833494
468438,62,4203
316525,41,2019101
372962,13,503329
831222,63,843181
123016,40,2004450
393444,65,6880
2152678,7,2153321
2184490,13,2184360
611416,88,131850
1702964,40,982612
1409021,13,366445
4287,7,160355
1407031,13,871206
285058,6,319676
236260,40,1702938
282428,16,362723
1913467,7,1483354
2162209,109,393568
1389165,13,1582402
1917779,7,875034
91935,40,2088782
1658738,63,834949
2153494,7,2153087
1912977,7,1270210
591519,88,156150
9743,7,809723
397817,54,17634
2073980,63,829665
1834765,88,1760210
1806644,40,2039048
1651319,63,829076
1365868,13,1867212
393970,65,8355
117589,109,1866507
1282892,13,1354941
1329421,88,1545071
1917486,7,461862
9898,55,8808
1874315,13,2044573
50083,13,1568362
378299,13,790173
1738222,13,1737878
1658641,63,1775707
2194405,7,736963
235968,41,1966408
1917136,7,461581
14761,41,2112044
55939,88,423
647732,6,14697
1626,6,8532
1914357,7,418404
1591504,13,500233
1645158,63,1656312
489095,35,487638
289560,48,1068054
53297,88,156032
1825190,7,1825194
748772,7,747209
1995635,7,1251769
321092,6,230647
1830197,63,1829823
620479,106,9457
196891,88,706919
373948,13,1619524
1755546,63,1775572
373130,13,1684307
811525,7,416435
1602371,13,1602036
1259345,13,1259285
992674,88,156029
16008,62,7076
1701121,7,1700749
303688,106,1177
161219,63,830423
1912675,7,1270102
2043220,13,1451093
395899,65,52548
1887469,63,1887467
1755583,63,1775713
1830074,63,1830050
2119726,63,830926
6557,62,1083
6232,65,979
390524,54,101817
121187,106,317795
757731,6,14577
89897,41,1607781
1381960,13,1381963
1914273,7,748180
1471358,62,5387
6135,42,180103
133484,16,363909
780937,13,852695
1659868,7,1659491
1832738,40,2062948
1773831,63,1775388
45221,65,997
8108,7,1458790
372583,13,362380
751302,88,4406
16018,41,1224741
6617,42,969680
2151448,62,8653
1836906,13,1901127
1676384,170,17320
839390,62,7540
177750,6,2550
2033235,16,2082944
1465017,13,502337
157855,46,2321
1922824,41,2187654
526100,13,368874
39969,13,534036
6158,65,47494
1913654,7,257156
12681,40,1367313
95873,40,966448
1262576,21,1869431
1629614,7,1919872
2094273,7,2094272
2090105,88,882307
1160,7,180705
649154,6,649139
94460,42,2066379
2044965,7,2044966
2082527,13,497981
834566,62,2145
31788,13,361892
1582000,63,839602
14861,13,792124
1913064,7,487930
287110,35,1746571
43503,16,1571003
780424,13,797938
273016,46,11153
89813,42,70415
668808,16,801989
46290,13,361910
2013303,13,2012976
2073909,48,931008
95862,40,2006764
87634,54,1081
117340,109,1866507
4847,13,861870
2914,41,1123098
2004525,106,17579
373157,13,372131
16085,13,361540
49807,13,485175
799246,13,799856
1847448,7,2094236
363123,35,13356
7056,40,1106216
72395,48,943513
88472,41,925859
3542,13,360920
852209,13,502601
1395606,13,1510999
648442,13,821356
1462386,35,591250
2044353,63,1279354
559063,21,1232
1838447,13,1838452
273814,35,957772
377231,13,369253
459622,88,156586
1743457,7,1742166
2027664,7,2027665
1545006,42,77371
1279400,62,8384
16703,40,1501427
1842025,13,1830747
1678141,109,1512380
812573,40,1463852
1949655,62,8653
83781,54,83784
2008222,63,1588141
93460,41,1543853
321833,6,40787
1975062,41,2192028
557045,13,769958
2134803,63,843277
220268,109,314897
1766885,88,282114
382792,35,1569083
872016,13,872017
358532,88,54956
404727,21,1182
377880,13,457949
195,16,372197
112995,109,314897
17765,7,888225
88290,40,1095133
86418,7,1999048
2004169,63,2003896
935,48,2076296
11070,21,1869445
109697,48,1530902
1147250,13,852456
1913033,7,722596
1834399,40,1753374
1276479,13,1684414
382940,109,393568
1645629,63,833716
95560,41,1498382
50699,13,501144
522095,13,2195343
614295,48,1675814
14468,41,1268236
54558,88,614392
161986,88,4480
1864444,63,1521689
236722,40,891445
1536,54,14741
489068,7,1861871
1854830,63,1854581
2192981,63,2192978
9736,42,1626079
391318,65,52548
715859,48,2076438
3313,54,8014
1238208,62,102216
24716,20,665769
321880,6,14440
614135,88,307298
16547,26,1283282
1916591,7,283677
1522078,63,843745
246018,106,60951
17224,55,4068
1657944,63,1399669
246326,40,1113525
394631,65,288
1917296,7,747938
1371690,13,1371693
60356,88,87835
102918,6,45076
13594,109,393568
377336,13,367982
1915253,7,260395
6997,40,307001
458895,13,458554
393795,54,47826
756,13,409640
1645011,63,833316
6387,7,626928
375352,13,370290
5684,35,679221
10825,54,71933
392071,54,6876
167700,88,1367286
1429796,13,172338
1511937,88,630229
2038671,88,1421016
2551,16,1123684
414178,63,2020384
2186081,109,314897
219643,48,1254056
668809,35,263474
1970551,62,3351
89902,41,70758
377622,13,407771
2925,41,2112075
16387,13,502592
375095,13,371994
1755693,62,1547
1832731,40,2188473
53647,88,285059
1913254,7,257159
393622,54,47196
93600,41,285562
1471552,63,845857
10200,42,1450709
9827,40,895009
11153,40,1879931
72773,6,10985
1422825,13,499859
1917063,7,788848
457051,6,649116
377151,13,367086
624503,35,364347
10409,40,262071
165642,106,5232
156765,40,113738
589232,42,1503915
490628,13,541823
2063960,40,1302006
503921,13,500966
536763,7,1742206
12570,6,398750
782029,13,800347
125664,7,2111895
15902,41,2169769
1114561,13,1114502
1259334,13,648213
364880,13,367581
9432,42,71360
122987,40,110851
97048,35,1015025
13769,13,367931
17326,42,1480176
17796,65,979
177378,7,2085159
94469,42,1262220
791153,13,788969
1470695,62,2145
10158,42,188798
637169,16,1515248
2054514,63,2055313
10671,41,2148677
24836,13,369591
396729,65,1442
837338,63,1854875
1807506,106,297351
530459,40,2138705
630339,41,2147448
13479,6,320277
54404,88,614392
291539,88,17957
1913203,7,283001
629378,88,131920
17610,48,2010934
1912836,7,1765065
10552,13,501391
225752,88,6670
737355,7,284179
708289,16,1971982
9794,88,156522
2341,40,2102880
357674,6,168532
395901,65,52548
1958089,13,411324
16441,88,757745
1889569,41,2085436
211896,48,942379
1834568,109,314897
9538,48,1918487
88291,40,1547683
375271,13,554366
284914,7,1084189
89315,40,921624
2464,16,365129
1917203,7,1742699
1408460,109,314897
1887349,62,1702
1886126,13,1886129
1830192,63,1830058
763958,13,763670
1916219,7,1269322
91432,40,1545111
236873,40,1570300
840991,62,1580
693062,7,1513251
51096,16,825873
1961387,7,1962318
1271670,13,1271671
1934515,7,1934294
393868,65,52548
234764,7,620112
2186755,88,706919
2944,26,1283282
1590063,16,2090653
1806645,40,922905
704905,7,416504
1156739,16,369042
1658153,63,829893
84825,62,1311
222578,109,314897
2119789,63,2119622
1913202,7,283000
90945,46,6597
297411,48,1878388
802055,13,792356
7731,55,4281
377407,13,368847
88328,40,1007741
1915681,7,1412356
840257,62,1621
1383097,7,1964842
852259,13,767393
282424,16,1534473
90154,40,993335
1259653,13,1259654
1832248,106,5679
71347,170,2257
1400847,63,838773
1491785,88,706919
318473,13,368535
831994,63,842277
202460,88,706916
2186732,109,742795
2105670,13,1956395
1854768,62,4483
228801,35,1516851
1659071,13,1659072
382918,35,1747399
1361069,62,8270
33723,13,666221
485754,13,822263
413960,16,708434
17824,40,468866
2455,13,526078
1808012,106,287248
390764,65,5772
196750,170,5182
16085,6,16098
